,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,2.91,4.88,4.24,2.48,4.75,4.25,1.52,1.81,1.13,2.54,1.83
2,2.03,2.25,3.58,2.31,4.54,1.24,1.12,1.97,1.57,1.55,1.34
3,1.24,3.83,4.72,2.74,3.55,3.27,1.65,1.54,0.74,2.18,1.01
4,3.92,4.37,4.3,2.37,4.58,1.25,0.98,2.35,2.18,1.17,1.65
5,3.19,3.48,4.5,3.04,3.23,0.65,0.89,1.28,0.87,1.46,2.23
6,3.76,4.21,2.42,2.57,2.91,0.46,0.74,1.13,1.56,1.5,2.08
7,3.75,3.82,4.21,2.5,4.86,0.77,1.08,2.14,2.15,1.41,1.29
8,4.52,4.44,2.35,2.88,4.39,1,1.59,2,1.96,2.37,1.8
9,5.07,4.65,1.81,3.24,4.71,1.02,1.65,3.19,1.76,2.44,1.58
10,5.72,4.91,5.8,3.06,6.56,2.05,2.04,2.69,2.55,2.19,4.27
11,6.37,4.23,4.64,3.12,6.37,1.97,1.71,2.37,1.49,2.47,4.2
12,5.55,4.1,5.41,3.48,5.27,1.81,1.43,2.9,2.37,3.02,4.69
13,5,5.02,6.29,3.49,6.38,2.13,1.84,3.83,2.81,3.76,3.38
14,5.02,3.73,5.22,4.24,7.06,2.73,2.98,3.05,2.28,5.44,2.17
15,2.33,6.18,6.05,3.17,4.77,2.02,3.63,3.23,2.96,6.68,1.39
16,4.33,5.03,4.11,3.45,6.36,2.7,2.97,3.18,3.11,4.46,1.36
17,4.88,5.67,2.62,1.65,6.24,2.62,2.92,3.24,2.62,6.47,0.93
18,5.73,4.51,3.37,2,6.62,3.13,3.47,3.07,1.74,7.31,0.81
19,5.77,3.22,4.84,2.45,6.55,4.81,3.42,3.12,2.61,7.79,1.25
20,6.69,4.17,6.9,2.68,4.5,4.54,2.95,3.23,3.44,9.2,1.08
21,7.63,4.69,7.54,3.24,3.92,5.3,5.07,3.34,4.27,11.07,1.34
22,6.6,5.51,10.18,3.11,4.97,5.38,4.76,3.89,4.43,11.44,1.85
23,8.47,7.12,11.41,5.88,5.04,6.41,6.17,5.35,3.63,12.72,
24,9.58,8.84,7.94,5.14,8.05,7.02,5.09,4.51,4.73,12.51,
25,7.13,12.02,10.8,5.67,8.3,7.19,6.15,4.48,4.84,11.35,
26,8.36,8.91,14.98,6.54,8.26,8.73,5.96,6.48,3.55,11.64,
27,10.39,13.99,16,5.68,8.98,9.78,5.8,9.46,4.77,11.71,
28,9.58,9.15,18.25,7.8,9.52,10.72,6.97,9.01,5.16,13.65,
29,10.56,16.49,17.42,7.91,8.78,11.87,7.4,10.85,5.44,11.63,
30,11.07,17.45,19.05,7.49,10.66,11.56,8.8,13.07,5.76,11.79,
31,9.97,15.65,17.61,9.5,13.98,13.82,9.45,21,5.29,10.58,
32,10.81,18.46,15.96,7.58,15.59,14.9,11,23.91,5.56,11.35,
33,9.8,18.92,14.75,10.91,17.49,16.91,13.26,25.55,5.71,12.3,
34,13.7,16.29,13.24,9.84,19.17,21.21,15.97,24.93,6.59,10.79,
35,16.81,15.17,9.14,9.18,19.07,17.25,13.46,20.91,6.87,9.48,
36,15.29,15.83,7.33,11.02,16.07,16.06,12.62,22.09,6.86,9.64,
37,17.57,12.75,7.53,11.1,16.02,14.01,13.31,18.49,7.18,6.54,
38,13.93,14.68,5.87,11.95,12.94,11.51,13.38,16.88,6.14,6.36,
39,16.98,15.69,3.93,10.74,9.47,10.16,9.67,14.52,4.61,4.68,
40,13.67,11.22,3.61,9.14,8.99,7.55,7.96,9.92,4.67,4.45,
41,11.25,8.92,1.94,5.65,6.36,4.58,5.83,7.68,4.78,2.39,
42,9.83,7.77,1.82,2.03,6.21,4.38,5.12,5.98,4.25,2.56,
43,9.1,6.54,2.96,3.46,2.31,2.75,3.89,4.28,3.79,1.81,
44,7.28,4.98,2.64,7.02,5.78,2.83,2.87,3.95,2.6,1.69,
45,9.64,6.39,2.24,4.58,5.44,2.67,3.05,3.63,2.55,1.79,
46,8.34,6.22,2.45,5.67,5.3,2.13,2.69,2.18,2.44,1.65,
47,7.09,5.46,3.06,3.65,5.4,1.58,2.89,3.05,1.78,1.73,
48,6.18,6.01,2.68,5.59,3.99,2.1,1.72,1.99,2.61,1.78,
49,5.78,5.45,2.32,5.93,3.08,1.63,2.22,1.41,2.09,1.72,
50,4.52,5.99,2.05,1.71,3.17,1.39,2.14,1.69,2.27,1.48,
51,6.03,3.64,2.57,1.32,3.5,0.8,2.43,2.13,1.5,0.96,
52,5.95,4.22,2.56,4.53,3.49,0.86,2.36,2.1,1.77,0.84,
53,,5.14,,,,,,,,,
