weeks,ILI
10-01,2.91
10-02,2.03
10-03,1.24
10-04,3.92
10-05,3.19
10-06,3.76
10-07,3.75
10-08,4.52
10-09,5.07
10-10,5.72
10-11,6.37
10-12,5.55
10-13,5.0
10-14,5.02
10-15,2.33
10-16,4.33
10-17,4.88
10-18,5.73
10-19,5.77
10-20,6.69
10-21,7.63
10-22,6.6
10-23,8.47
10-24,9.58
10-25,7.13
10-26,8.36
10-27,10.39
10-28,9.58
10-29,10.56
10-30,11.07
10-31,9.97
10-32,10.81
10-33,9.8
10-34,13.7
10-35,16.81
10-36,15.29
10-37,17.57
10-38,13.93
10-39,16.98
10-40,13.67
10-41,11.25
10-42,9.83
10-43,9.1
10-44,7.28
10-45,9.64
10-46,8.34
10-47,7.09
10-48,6.18
10-49,5.78
10-50,4.52
10-51,6.03
10-52,5.95
11-01,4.88
11-02,2.25
11-03,3.83
11-04,4.37
11-05,3.48
11-06,4.21
11-07,3.82
11-08,4.44
11-09,4.65
11-10,4.91
11-11,4.23
11-12,4.1
11-13,5.02
11-14,3.73
11-15,6.18
11-16,5.03
11-17,5.67
11-18,4.51
11-19,3.22
11-20,4.17
11-21,4.69
11-22,5.51
11-23,7.12
11-24,8.84
11-25,12.02
11-26,8.91
11-27,13.99
11-28,9.15
11-29,16.49
11-30,17.45
11-31,15.65
11-32,18.46
11-33,18.92
11-34,16.29
11-35,15.17
11-36,15.83
11-37,12.75
11-38,14.68
11-39,15.69
11-40,11.22
11-41,8.92
11-42,7.77
11-43,6.54
11-44,4.98
11-45,6.39
11-46,6.22
11-47,5.46
11-48,6.01
11-49,5.45
11-50,5.99
11-51,3.64
11-52,4.22
12-01,4.24
12-02,3.58
12-03,4.72
12-04,4.3
12-05,4.5
12-06,2.42
12-07,4.21
12-08,2.35
12-09,1.81
12-10,5.8
12-11,4.64
12-12,5.41
12-13,6.29
12-14,5.22
12-15,6.05
12-16,4.11
12-17,2.62
12-18,3.37
12-19,4.84
12-20,6.9
12-21,7.54
12-22,10.18
12-23,11.41
12-24,7.94
12-25,10.8
12-26,14.98
12-27,16.0
12-28,18.25
12-29,17.42
12-30,19.05
12-31,17.61
12-32,15.96
12-33,14.75
12-34,13.24
12-35,9.14
12-36,7.33
12-37,7.53
12-38,5.87
12-39,3.93
12-40,3.61
12-41,1.94
12-42,1.82
12-43,2.96
12-44,2.64
12-45,2.24
12-46,2.45
12-47,3.06
12-48,2.68
12-49,2.32
12-50,2.05
12-51,2.57
12-52,2.56
13-01,2.48
13-02,2.31
13-03,2.74
13-04,2.37
13-05,3.04
13-06,2.57
13-07,2.5
13-08,2.88
13-09,3.24
13-10,3.06
13-11,3.12
13-12,3.48
13-13,3.49
13-14,4.24
13-15,3.17
13-16,3.45
13-17,1.65
13-18,2.0
13-19,2.45
13-20,2.68
13-21,3.24
13-22,3.11
13-23,5.88
13-24,5.14
13-25,5.67
13-26,6.54
13-27,5.68
13-28,7.8
13-29,7.91
13-30,7.49
13-31,9.5
13-32,7.58
13-33,10.91
13-34,9.84
13-35,9.18
13-36,11.02
13-37,11.1
13-38,11.95
13-39,10.74
13-40,9.14
13-41,5.65
13-42,2.03
13-43,3.46
13-44,7.02
13-45,4.58
13-46,5.67
13-47,3.65
13-48,5.59
13-49,5.93
13-50,1.71
13-51,1.32
13-52,4.53
14-01,4.75
14-02,4.54
14-03,3.55
14-04,4.58
14-05,3.23
14-06,2.91
14-07,4.86
14-08,4.39
14-09,4.71
14-10,6.56
14-11,6.37
14-12,5.27
14-13,6.38
14-14,7.06
14-15,4.77
14-16,6.36
14-17,6.24
14-18,6.62
14-19,6.55
14-20,4.5
14-21,3.92
14-22,4.97
14-23,5.04
14-24,8.05
14-25,8.3
14-26,8.26
14-27,8.98
14-28,9.52
14-29,8.78
14-30,10.66
14-31,13.98
14-32,15.59
14-33,17.49
14-34,19.17
14-35,19.07
14-36,16.07
14-37,16.02
14-38,12.94
14-39,9.47
14-40,8.99
14-41,6.36
14-42,6.21
14-43,2.31
14-44,5.78
14-45,5.44
14-46,5.3
14-47,5.4
14-48,3.99
14-49,3.08
14-50,3.17
14-51,3.5
14-52,3.49
15-01,4.25
15-02,1.24
15-03,3.27
15-04,1.25
15-05,0.65
15-06,0.46
15-07,0.77
15-08,1.0
15-09,1.02
15-10,2.05
15-11,1.97
15-12,1.81
15-13,2.13
15-14,2.73
15-15,2.02
15-16,2.7
15-17,2.62
15-18,3.13
15-19,4.81
15-20,4.54
15-21,5.3
15-22,5.38
15-23,6.41
15-24,7.02
15-25,7.19
15-26,8.73
15-27,9.78
15-28,10.72
15-29,11.87
15-30,11.56
15-31,13.82
15-32,14.9
15-33,16.91
15-34,21.21
15-35,17.25
15-36,16.06
15-37,14.01
15-38,11.51
15-39,10.16
15-40,7.55
15-41,4.58
15-42,4.38
15-43,2.75
15-44,2.83
15-45,2.67
15-46,2.13
15-47,1.58
15-48,2.1
15-49,1.63
15-50,1.39
15-51,0.8
15-52,0.86
16-01,1.52
16-02,1.12
16-03,1.65
16-04,0.98
16-05,0.89
16-06,0.74
16-07,1.08
16-08,1.59
16-09,1.65
16-10,2.04
16-11,1.71
16-12,1.43
16-13,1.84
16-14,2.98
16-15,3.63
16-16,2.97
16-17,2.92
16-18,3.47
16-19,3.42
16-20,2.95
16-21,5.07
16-22,4.76
16-23,6.17
16-24,5.09
16-25,6.15
16-26,5.96
16-27,5.8
16-28,6.97
16-29,7.4
16-30,8.8
16-31,9.45
16-32,11.0
16-33,13.26
16-34,15.97
16-35,13.46
16-36,12.62
16-37,13.31
16-38,13.38
16-39,9.67
16-40,7.96
16-41,5.83
16-42,5.12
16-43,3.89
16-44,2.87
16-45,3.05
16-46,2.69
16-47,2.89
16-48,1.72
16-49,2.22
16-50,2.14
16-51,2.43
16-52,2.36
17-01,1.81
17-02,1.97
17-03,1.54
17-04,2.35
17-05,1.28
17-06,1.13
17-07,2.14
17-08,2.0
17-09,3.19
17-10,2.69
17-11,2.37
17-12,2.9
17-13,3.83
17-14,3.05
17-15,3.23
17-16,3.18
17-17,3.24
17-18,3.07
17-19,3.12
17-20,3.23
17-21,3.34
17-22,3.89
17-23,5.35
17-24,4.51
17-25,4.48
17-26,6.48
17-27,9.46
17-28,9.01
17-29,10.85
17-30,13.07
17-31,21.0
17-32,23.91
17-33,25.55
17-34,24.93
17-35,20.91
17-36,22.09
17-37,18.49
17-38,16.88
17-39,14.52
17-40,9.92
17-41,7.68
17-42,5.98
17-43,4.28
17-44,3.95
17-45,3.63
17-46,2.18
17-47,3.05
17-48,1.99
17-49,1.41
17-50,1.69
17-51,2.13
17-52,2.1
18-01,1.13
18-02,1.57
18-03,0.74
18-04,2.18
18-05,0.87
18-06,1.56
18-07,2.15
18-08,1.96
18-09,1.76
18-10,2.55
18-11,1.49
18-12,2.37
18-13,2.81
18-14,2.28
18-15,2.96
18-16,3.11
18-17,2.62
18-18,1.74
18-19,2.61
18-20,3.44
18-21,4.27
18-22,4.43
18-23,3.63
18-24,4.73
18-25,4.84
18-26,3.55
18-27,4.77
18-28,5.16
18-29,5.44
18-30,5.76
18-31,5.29
18-32,5.56
18-33,5.71
18-34,6.59
18-35,6.87
18-36,6.86
18-37,7.18
18-38,6.14
18-39,4.61
18-40,4.67
18-41,4.78
18-42,4.25
18-43,3.79
18-44,2.6
18-45,2.55
18-46,2.44
18-47,1.78
18-48,2.61
18-49,2.09
18-50,2.27
18-51,1.5
18-52,1.77
19-01,2.54
19-02,1.55
19-03,2.18
19-04,1.17
19-05,1.46
19-06,1.5
19-07,1.41
19-08,2.37
19-09,2.44
19-10,2.19
19-11,2.47
19-12,3.02
19-13,3.76
19-14,5.44
19-15,6.68
19-16,4.46
19-17,6.47
19-18,7.31
19-19,7.79
19-20,9.2
19-21,11.07
19-22,11.44
19-23,12.72
19-24,12.51
19-25,11.35
19-26,11.64
19-27,11.71
19-28,13.65
19-29,11.63
19-30,11.79
19-31,10.58
19-32,11.35
19-33,12.3
19-34,10.79
19-35,9.48
19-36,9.64
19-37,6.54
19-38,6.36
19-39,4.68
19-40,4.45
19-41,2.39
19-42,2.56
19-43,1.81
19-44,1.69
19-45,1.79
19-46,1.65
19-47,1.73
19-48,1.78
19-49,1.72
19-50,1.48
19-51,0.96
19-52,0.84
20-01,1.83
20-02,1.34
20-03,1.01
20-04,1.65
20-05,2.23
20-06,2.08
20-07,1.29
20-08,1.8
20-09,1.58
20-10,4.27
20-11,4.2
20-12,4.69
20-13,3.38
20-14,2.17
20-15,1.39
20-16,1.36
20-17,0.93
20-18,0.81
20-19,1.25
20-20,1.08
