weeks,ILI
10-01,9.7
10-02,6.9
10-03,6.0
10-04,5.1
10-05,4.7
10-06,4.6
10-07,3.9
10-08,3.5
10-09,3.3
10-10,2.8
10-11,3.3
10-12,4.7
10-13,10.6
10-14,15.3
10-15,20.5
10-16,18.7
10-17,17.1
10-18,10.1
10-19,6.6
10-20,4.5
10-21,3.9
10-22,2.9
10-23,2.9
10-24,2.4
10-25,2.4
10-26,2.1
10-27,2.1
10-28,2.4
10-29,2.2
10-30,2.0
10-31,1.9
10-32,2.2
10-33,1.5
10-34,2.2
10-35,1.9
10-36,2.6
10-37,3.3
10-38,3.3
10-39,4.5
10-40,3.4
10-41,4.1
10-42,3.5
10-43,3.8
10-44,3.4
10-45,3.7
10-46,3.6
10-47,4.1
10-48,4.2
10-49,5.0
10-50,7.4
10-51,14.6
10-52,23.9
11-01,22.3
11-02,17.2
11-03,14.3
11-04,9.4
11-05,7.2
11-06,5.3
11-07,3.7
11-08,3.1
11-09,2.7
11-10,2.4
11-11,2.5
11-12,2.5
11-13,2.9
11-14,2.4
11-15,2.3
11-16,2.5
11-17,2.4
11-18,2.4
11-19,2.8
11-20,2.5
11-21,2.9
11-22,2.4
11-23,2.2
11-24,2.3
11-25,2.3
11-26,1.9
11-27,1.8
11-28,1.8
11-29,1.8
11-30,1.8
11-31,1.9
11-32,2.0
11-33,1.6
11-34,1.7
11-35,2.1
11-36,2.6
11-37,2.3
11-38,3.2
11-39,3.3
11-40,2.9
11-41,3.1
11-42,2.7
11-43,2.8
11-44,3.1
11-45,2.9
11-46,2.7
11-47,3.0
11-48,2.9
11-49,2.8
11-50,3.0
11-51,3.1
11-52,3.7
12-01,6.2
12-02,11.3
12-03,18.8
12-04,20.3
12-05,21.1
12-06,23.1
12-07,21.4
12-08,20.0
12-09,16.2
12-10,12.9
12-11,14.6
12-12,18.0
12-13,20.3
12-14,16.7
12-15,13.8
12-16,8.7
12-17,7.1
12-18,5.0
12-19,3.4
12-20,2.8
12-21,2.5
12-22,2.4
12-23,2.3
12-24,2.2
12-25,2.3
12-26,2.0
12-27,1.8
12-28,1.8
12-29,1.8
12-30,1.9
12-31,2.1
12-32,1.7
12-33,1.7
12-34,1.5
12-35,1.8
12-36,2.0
12-37,2.1
12-38,2.2
12-39,2.1
12-40,2.5
12-41,2.4
12-42,2.6
12-43,2.5
12-44,2.7
12-45,2.8
12-46,2.7
12-47,2.8
12-48,2.9
12-49,3.0
12-50,2.7
12-51,2.8
12-52,3.3
13-01,3.7
13-02,4.8
13-03,6.9
13-04,7.8
13-05,8.4
13-06,9.9
13-07,11.0
13-08,11.9
13-09,12.7
13-10,9.9
13-11,9.0
13-12,7.8
13-13,6.3
13-14,5.3
13-15,4.5
13-16,4.1
13-17,3.6
13-18,2.8
13-19,2.8
13-20,2.8
13-21,1.8
13-22,2.5
13-23,2.5
13-24,2.2
13-25,2.2
13-26,2.2
13-27,2.1
13-28,2.0
13-29,1.9
13-30,1.9
13-31,1.6
13-32,1.9
13-33,2.0
13-34,2.0
13-35,2.0
13-36,6.1
13-37,7.6
13-38,8.0
13-39,7.4
13-40,7.2
13-41,7.7
13-42,7.7
13-43,7.9
13-44,8.4
13-45,8.0
13-46,9.5
13-47,11.2
13-48,10.3
13-49,10.9
13-50,11.3
13-51,11.7
13-52,15.3
14-01,19.4
14-02,23.1
14-03,27.3
14-04,37.0
14-05,42.1
14-06,53.7
14-07,64.3
14-08,60.2
14-09,45.2
14-10,29.2
14-11,28.9
14-12,26.8
14-13,20.3
14-14,15.3
14-15,11.0
14-16,9.7
14-17,6.4
14-18,5.4
14-19,3.8
14-20,3.9
14-21,3.7
14-22,4.1
14-23,2.8
14-24,2.4
14-25,2.7
14-26,2.7
14-27,2.7
14-28,2.1
14-29,2.2
14-30,2.3
14-31,2.0
14-32,1.6
14-33,1.7
14-34,1.3
14-35,2.1
14-36,1.7
14-37,2.3
14-38,2.4
14-39,2.9
14-40,3.1
