,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,9.7,22.3,6.2,3.7,19.4,8.3,10.6,39.4,72.1,53.1,49.1
2,6.9,17.2,11.3,4.8,23.1,10,12.1,23.9,69,33.6,47.8
3,6,14.3,18.8,6.9,27.3,14,13.5,17,59.6,23,42.4
4,5.1,9.4,20.3,7.8,37,18.4,20.7,12.5,43.6,15.3,40.9
5,4.7,7.2,21.1,8.4,42.1,22.6,27.2,9.9,35.3,11.3,28
6,4.6,5.3,23.1,9.9,53.7,29.5,41.3,9,31.7,10.2,16.4
7,3.9,3.7,21.4,11,64.3,41.6,53.8,7.1,30.7,8,11.6
8,3.5,3.1,20,11.9,60.2,45.5,46.1,6.7,18.8,8.6,8.5
9,3.3,2.7,16.2,12.7,45.2,28.6,43,6.1,15.1,8.3,6.3
10,2.8,2.4,12.9,9.9,29.2,26.7,32.1,7,11.7,9.1,3.9
11,3.3,2.5,14.6,9,28.9,29.3,28.8,9.3,9.8,12.1,2.9
12,4.7,2.5,18,7.8,26.8,35.6,30.1,13.2,8,20.3,3.2
13,10.6,2.9,20.3,6.3,20.3,31.1,30.5,13.7,7.2,27.2,2.8
14,15.3,2.4,16.7,5.3,15.3,31.7,32,16.7,6.2,32.2,2.5
15,20.5,2.3,13.8,4.5,11,23.6,28.3,15.8,6.8,42.1,2.7
16,18.7,2.5,8.7,4.1,9.7,18.5,21.1,14.5,5.8,44.2,2.3
17,17.1,2.4,7.1,3.6,6.4,14.9,15.4,13.3,7.6,37.3,2.4
18,10.1,2.4,5,2.8,5.4,11.6,11.8,9.5,6.2,23.9,1.7
19,6.6,2.8,3.4,2.8,3.8,6.9,7.7,6.8,6.1,15.1,2.1
20,4.5,2.5,2.8,2.8,3.9,6.6,6.3,7.6,6,11.3,2.3
21,3.9,2.9,2.5,1.8,3.7,6.2,5.9,6.7,5.6,7,2.2
22,2.9,2.4,2.4,2.5,4.1,5.2,5.4,4.9,5.6,5.5,2.4
23,2.9,2.2,2.3,2.5,2.8,5.8,5.3,5.1,5.1,5.1,
24,2.4,2.3,2.2,2.2,2.4,5.1,4.5,5.6,4.6,4.7,
25,2.4,2.3,2.3,2.2,2.7,4.4,5.6,5.7,4.3,4.4,
26,2.1,1.9,2,2.2,2.7,3.5,5.1,5.3,4.1,4.1,
27,2.1,1.8,1.8,2.1,2.7,3.4,4.8,5.8,4.5,4.7,
28,2.4,1.8,1.8,2,2.1,3.2,4.3,6.2,4.2,4.1,
29,2.2,1.8,1.8,1.9,2.2,4.5,5.3,6.3,5.2,4.4,
30,2,1.8,1.9,1.9,2.3,4.8,4.7,4.3,4.5,4.3,
31,1.9,1.9,2.1,1.6,2,4.6,4.7,4.5,4.5,4,
32,2.2,2,1.7,1.9,1.6,4.4,5.4,4.4,2.7,3.3,
33,1.5,1.6,1.7,2,1.7,4.4,4.2,3.8,3.2,2.9,
34,2.2,1.7,1.5,2,1.3,4.3,4.5,5.2,4,3.3,
35,1.9,2.1,1.8,2,2.1,4.5,4.4,4.8,3.7,3.5,
36,2.6,2.6,2,6.1,1.7,5.2,3.8,4.9,4,3.4,
37,3.3,2.3,2.1,7.6,2.3,4.7,4.6,5.1,4.3,3.6,
38,3.3,3.2,2.2,8,2.4,4.6,3.9,5.1,4.4,3.7,
39,4.5,3.3,2.1,7.4,2.9,3.5,3.9,4.7,3.9,3.8,
40,3.4,2.9,2.5,7.2,3.1,4,4.2,3.1,3.5,3.9,
41,4.1,3.1,2.4,7.7,3,3.8,3.7,3.8,3.7,4.2,
42,3.5,2.7,2.6,7.7,2.9,4,3.7,4.2,3.8,4.6,
43,3.8,2.8,2.5,7.9,2.9,3.9,4,4.1,4.9,4.5,
44,3.4,3.1,2.7,8.4,2.7,3.8,4.8,5.2,5.7,5.8,
45,3.7,2.9,2.8,8,3,4.5,4.2,5.3,7.8,7,
46,3.6,2.7,2.7,9.5,3.7,4.4,4.5,6.3,10.1,8.2,
47,4.1,3,2.8,11.2,4,5.1,5.9,7.7,13.2,9.7,
48,4.2,2.9,2.9,10.3,3.1,5.4,7.3,11.4,19.2,12.7,
49,5,2.8,3,10.9,5.1,7,13.3,19,34,19.5,
50,7.4,3,2.7,11.3,7.1,7.4,34.8,30.6,48.7,28.5,
51,14.6,3.1,2.8,11.7,7.2,7.6,61.8,53.6,71.9,37.8,
52,23.9,3.7,3.3,15.3,8.9,9,86.2,71.8,73.3,49.8,
53,,4.7,,,,,63.5,,,,
