weeks,ILI
10-01,19.8284
10-02,18.2749
10-03,19.2606
10-04,19.2495
10-05,20.8877
10-06,20.343400000000003
10-07,19.7649
10-08,19.936200000000003
10-09,18.5383
10-10,18.673
10-11,16.9987
10-12,14.974100000000002
10-13,14.5112
10-14,12.0715
10-15,11.7415
10-16,11.6207
10-17,11.7213
10-18,11.2168
10-19,11.4981
10-20,11.3328
10-21,10.8171
10-22,11.9959
10-23,9.52808
10-24,9.16032
10-25,9.26582
10-26,8.696200000000001
10-27,9.03133
10-28,7.73776
10-29,7.427739999999999
10-30,7.30934
10-31,7.868819999999999
10-32,7.63051
10-33,8.41043
10-34,7.91573
10-35,9.12732
10-36,10.3398
10-37,9.34009
10-38,10.8189
10-39,10.656299999999998
10-40,11.350499999999998
10-41,12.5256
10-42,12.457
10-43,12.6774
10-44,14.3723
10-45,15.3341
10-46,16.9445
10-47,19.915
10-48,18.1305
10-49,20.1426
10-50,25.565900000000003
10-51,33.8185
10-52,34.3172
11-01,26.9151
11-02,29.1063
11-03,34.9232
11-04,40.037000000000006
11-05,44.3534
11-06,42.4215
11-07,43.971900000000005
11-08,39.0256
11-09,31.5073
11-10,27.2422
11-11,23.3336
11-12,19.25
11-13,17.5243
11-14,15.7704
11-15,13.5766
11-16,13.1223
11-17,11.4937
11-18,11.1451
11-19,11.0984
11-20,10.524
11-21,10.3536
11-22,11.177700000000002
11-23,9.82949
11-24,9.25194
11-25,8.35531
11-26,8.32393
11-27,8.55591
11-28,7.069489999999999
11-29,6.94387
11-30,6.87976
11-31,6.447430000000001
11-32,6.753299999999999
11-33,7.2823
11-34,8.06526
11-35,8.60408
11-36,9.36075
11-37,9.66683
11-38,9.96007
11-39,11.0846
11-40,12.0345
11-41,12.3777
11-42,12.525899999999998
11-43,13.0546
11-44,14.5295
11-45,14.4089
11-46,14.6221
11-47,16.557299999999998
11-48,14.660600000000002
11-49,15.1811
11-50,16.6429
11-51,18.5274
11-52,21.241300000000003
12-01,17.6709
12-02,15.434
12-03,16.476200000000002
12-04,16.843
12-05,18.6354
12-06,18.6408
12-07,20.1839
